Compartment,Shelf,Item,Expected Qty,Actual Qty,Status,Notes / Action Required
Above the Compartments — Ladders & Pike Poles,—,Pike Poles ×2 — 6 ft & 8 ft (Above Compartments),1,,,
Inside the Cab,TOP SHELF,"4-Gas CO Meter (O₂, CO, H₂S, Combustible Gas)",1,,,
Inside the Cab,TOP SHELF,Gas Trac (Methane Meter),1,,,
Inside the Cab,TOP SHELF,HCN Sensor (Standalone),1,,,
Inside the Cab,TOP SHELF,Hot Stick,1,,,
Inside the Cab,TOP SHELF,Blue Lockout / Tagout Bag,1,,,
Inside the Cab,MIDDLE SHELF — EMS BAGS,"Red Jump Bag — ""First In"" EMS Bag",1,,,
Inside the Cab,MIDDLE SHELF — EMS BAGS,Green Airway Bag,1,,,
Inside the Cab,MIDDLE SHELF — EMS BAGS,AED — Automated External Defibrillator,1,,,
Inside the Cab,MIDDLE SHELF — EMS BAGS,Small Orange Bag — Suction Device,1,,,
Inside the Cab,MIDDLE SHELF — EMS BAGS,Pet O₂ Mask,1,,,
Inside the Cab,ALSO IN CAB — KEY ITEMS,ERG — Emergency Response Guidebook,1,,,
Inside the Cab,ALSO IN CAB — KEY ITEMS,KnoxBox + Elevator Key,1,,,
Inside the Cab,ALSO IN CAB — KEY ITEMS,Accountability Velcro Name Board,1,,,
